Form ID,Form Name,Module Spec,Screen ID,Field Count,Primary Persona,Operational Domain,Sidebar Submenu Group,Submenu Item Label,Full Location Path,Target Module ID,CRUD API Endpoint,Workday Equivalent
FRM-PAY-02,Salary Structure,PAY Payroll,SCR-052,25,"HR, Compensation",Core HR,Payroll & finance operations,Salary structure simulator,Core HR > Payroll & finance operations > Salary structure simulator (SCR-052),salary_simulator,/api/v1/wage-simulations,Workday: Request Compensation Change
FRM-PAY-03,Payroll Run,PAY Payroll,SCR-050,18,Payroll manager,Payroll & Finance,Payroll & finance operations,Payroll run cockpit,Payroll & Finance > Payroll & finance operations > Payroll run cockpit (SCR-050),payroll_runs,/api/v1/payroll-runs,Workday: Run Pay Calculation
FRM-PAY-04,Pre-Payroll Audit Resolution,PAY Payroll,SCR-051,8,Payroll manager,Payroll & Finance,Payroll & finance operations,Pre-payroll audit,Payroll & Finance > Payroll & finance operations > Pre-payroll audit (SCR-051),pre_payroll_audit,/api/v1/payroll-anomalies,Workday: Payroll Audit / Pay Calculation Results
FRM-PAY-05,Investment Declaration and Tax,PAY Payroll,SCR-054,35,Employee,Payroll & Finance,Payroll & finance operations,Tax declaration and projection,Payroll & Finance > Payroll & finance operations > Tax declaration and projection (SCR-054),tax_declarations,/api/v1/ops/modules/tax_declarations/records,Workday: Tax Elections / Benefit Elections
FRM-PAY-06,Reimbursement Claim,PAY Payroll,SCR-058,12,Employee,Payroll & Finance,Payroll & finance operations,Reimbursement claim,Payroll & Finance > Payroll & finance operations > Reimbursement claim (SCR-058),reimbursement_claim,/api/v1/ops/modules/reimbursement_claim/records,Workday: Expense Report
FRM-PAY-07,Disbursement and Bank File,PAY Payroll,SCR-055,13,Finance,Payroll & Finance,Payroll & finance operations,Bank disbursement control,Payroll & Finance > Payroll & finance operations > Bank disbursement control (SCR-055),bank_disbursement,/api/v1/ops/modules/bank_disbursement/records,Workday: Settlement Run / Payment File
FRM-PAY-08,Full and Final Settlement,PAY Payroll,SCR-056,18,"Payroll, HR",Payroll & Finance,Payroll & finance operations,Full and final settlement,Payroll & Finance > Payroll & finance operations > Full and final settlement (SCR-056),full_and_final,/api/v1/fnf-settlements,Workday: Termination Payout / Final Pay
FRM-CMB-01,Loan Application,CMB Compensation & Loans,SCR-080,22,"Employee, HR, Finance",Payroll & Finance,Payroll & finance operations,Loans and advances,Payroll & Finance > Payroll & finance operations > Loans and advances (SCR-080),loans_advances,/api/v1/loans,Workday: Loan Request (Benefits)
FRM-CMB-02,Salary Advance Request,CMB Compensation & Loans,SCR-081,8,Employee,Payroll & Finance,Payroll & finance operations,Salary advance request,Payroll & Finance > Payroll & finance operations > Salary advance request (SCR-081),salary_advance,/api/v1/ops/modules/salary_advance/records,Workday: Advance Request
FRM-TAL-01,Manpower Requisition,TAL Talent,SCR-090,21,Hiring manager,Core HR,Talent & experience operations,Recruitment requisitions,Core HR > Talent & experience operations > Recruitment requisitions (SCR-090),requisitions,/api/v1/requisitions,Workday: Create Job Requisition
FRM-TAL-02,Candidate Record and Application,TAL Talent,SCR-092,19,Recruiter,Core HR,Talent & experience operations,Candidate record and application,Core HR > Talent & experience operations > Candidate record and application (SCR-092),candidate_application,/api/v1/ops/modules/candidate_application/records,Workday: Candidate Profile / Job Application
FRM-TAL-03,Interview Feedback,TAL Talent,SCR-093,10,Interviewer,Core HR,Talent & experience operations,Interview feedback,Core HR > Talent & experience operations > Interview feedback (SCR-093),interview_feedback,/api/v1/ops/modules/interview_feedback/records,Workday: Interview Feedback
FRM-TAL-04,Offer,TAL Talent,SCR-094,14,"Recruiter, HR",Core HR,Talent & experience operations,Offer management,Core HR > Talent & experience operations > Offer management (SCR-094),offer_management,/api/v1/ops/modules/offer_management/records,Workday: Make Offer / Offer Letter
FRM-TAL-05,Employee Referral,TAL Talent,SCR-091,10,"Employee, HR",Core HR,Talent & experience operations,Referral tracking,Core HR > Talent & experience operations > Referral tracking (SCR-091),referrals,/api/v1/referrals,Workday: Refer a Candidate
FRM-LCY-01,Pre-boarding and Joining Chain,LCY Lifecycle,SCR-060,15,HR Ops,Core HR,People & lifecycle,Joining chain console,Core HR > People & lifecycle > Joining chain console (SCR-060),joining_chain,/api/v1/onboarding/instances,Workday: Onboarding Business Process
FRM-LCY-02,Confirmation,LCY Lifecycle,SCR-068,10,"Manager, HR",Core HR,People & lifecycle,Confirmation review,Core HR > People & lifecycle > Confirmation review (SCR-068),probation_confirmation,/api/v1/ops/modules/probation_confirmation/records,Workday: Complete Probation
FRM-LCY-03,Resignation and Exit,LCY Lifecycle,SCR-069,16,"Employee, HR",Core HR,People & lifecycle,Resignation and exit,Core HR > People & lifecycle > Resignation and exit (SCR-069),resignation_exit,/api/v1/ops/modules/resignation_exit/records,Workday: Terminate Employee / Resignation
FRM-LCY-04,Exit Clearance,LCY Lifecycle,SCR-061,10,"Department owners, HR",Core HR,People & lifecycle,Clearance board,Core HR > People & lifecycle > Clearance board (SCR-061),clearance_board,/api/v1/ops/modules/clearance_board/records,Workday: Offboarding Checklist
FRM-EXP-01,Letter Generation,EXP Experience,SCR-067,13,HR Ops,Core HR,People & lifecycle,Letters and issue register,Core HR > People & lifecycle > Letters and issue register (SCR-067),letters_register,/api/v1/hr-letters,Workday: Generate Document
FRM-EXP-02,Recognition Nomination,EXP Experience,SCR-065,10,"Manager, HR",Core HR,Talent & experience operations,Recognition register,Core HR > Talent & experience operations > Recognition register (SCR-065),recognition_register,/api/v1/recognition-events,Workday: Give Recognition / Award
FRM-EXP-03,Announcement,EXP Experience,SCR-066,12,HR,Core HR,Talent & experience operations,Announcements,Core HR > Talent & experience operations > Announcements (SCR-066),announcement_management,/api/v1/announcements,Workday: Announcements
FRM-SSV-01,Helpdesk Ticket,SSV Self-service & Helpdesk,SCR-043,13,"Employee, HR",Analytics & AI,Intelligence operations,Helpdesk ticket,Analytics & AI > Intelligence operations > Helpdesk ticket (SCR-043),helpdesk_ticket,/api/v1/ops/modules/helpdesk_ticket/records,Workday: Help Case
FRM-CMP-01,Obligation Calendar Entry,CMP Compliance,SCR-072,12,Compliance owner,Workforce Operations,Compliance engineering,Obligation calendar,Workforce Operations > Compliance engineering > Obligation calendar (SCR-072),obligation_calendar,/api/v1/compliance/obligations,Workday: Compliance Task
FRM-CTG-01,Contractor Engagement,CTG Contingent Workforce,SCR-095,12,"Purchase, HR",Core HR,Compliance engineering,Contractor engagement and invoice,Core HR > Compliance engineering > Contractor engagement and invoice (SCR-095),contractor_reconciliation,/api/v1/contractors/invoices,Workday: Contingent Worker Contract
FRM-CTG-02,Contractor Invoice Reconciliation,CTG Contingent Workforce,SCR-096,12,"Finance, HR",Workforce Operations,Compliance engineering,Contractor invoice reconciliation,Workforce Operations > Compliance engineering > Contractor invoice reconciliation (SCR-096),contractor_invoice,/api/v1/ops/modules/contractor_invoice/records,Workday: Supplier Invoice Match
FRM-FIN-01,GL Mapping,FIN Finance & ERP,SCR-102,8,Finance,Payroll & Finance,Payroll & finance operations,GL mapping and journal,Payroll & Finance > Payroll & finance operations > GL mapping and journal (SCR-102),gl_mapping,/api/v1/ops/modules/gl_mapping/records,Workday: Payroll Accounting Rules
FRM-FIN-02,ERP Integration and Field Ownership,FIN Finance & ERP,SCR-100,9,Implementation consultant,Core HR,Integration operations,Integration configuration,Core HR > Integration operations > Integration configuration (SCR-100),integration_config,/api/v1/integrations/connections,Workday: Integration System / Field Overrides
